source,title,company,location,salary,description,job_url
Jora,Assistant Accountant - Mandarin Speaking | Sponsorship available,BrillianTalent,Sydney CBD NSW,"$65,000 - $65,000 a year",My Client is one of the fastest-growing commercial property asset management companies in AustraliaJob ResponsibilitiesHandle daily bookkeeping and quarterly GST submissionsReview monthly reports and organize financial dataAssist and coordinate with external accountants and auditorsSupport asset acquisition work and complete information collection and filingOther finance-related support tasksRequirementsCurrently holding a valid visa that allows work in AustraliaAccounting-related degree from a local Australian universityProficient in various office softwareCA/CPA qualification preferredFamiliarity with accounting software such as QuickBooks and XERO is a plusExperience at a Big Four accounting firm is a plusExperience in retail or commercial property finance is a plusSponsorship available!!!Ready to apply?Apply now or contact our recruitment consultantJane Zhengat**********@brilliantalent.com.auOnly shortlisted candidates will be contacted.,https://au.jora.com/job/Assistant-Accountant-0c61384ea672d44275258729c658aa56?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=dc78d8fe020e939a7228856ee51f3628&sp=serp&sponsored=false&sq=sponsorship+available&sr=1&tk=19tqQFjw9zSJL7odJaqx-AB2J2pflVJ6t7YzGMxlm&trigger_source=serp
Jora,Motor Mechanic,Ultra Tune Cairns,Cairns City QLD,"$78,000 - $89,200 a year","Ultra Tune Cairns is hiring a Full time Motor Mechanic role in Cairns City, QLD. Apply now to be part of our team.Job summary:Looking for candidates available to work:Monday: Morning, AfternoonTuesday: Morning, AfternoonWednesday: Morning, AfternoonThursday: Morning, AfternoonFriday: Morning, Afternoon2-3 years of relevant work experience required for this roleWork visa will be provided for this roleExpected salary: $78,000 - $89,200 per yearMOTOR MECHANIC - CAIRNS (QLD)About Us ...Ultra Tune is a leading National Franchise of over 260 service centres in Australia. This position is located in stunning Tropical North Queensland. We are a small family run business with 2 Ultra Tune service centres and 1 independent auto centre, having been in business in Cairns for over 27 years. We are looking to employ a trade qualified motor mechanic to join our team in Cairns or nearby Smithfield.What we can offer you ...Job security and great working conditionsVariety of workA great team of mechanics to work withSponsorship potential for the right candidateWhat you will be doing ...General servicing of vehicles and 4WD vehicles, over a variety of makes and modelsDetecting and diagnosing faults in engines and motor vehicle partsGeneral repairs and maintenance including brakes, suspension, tyres and other repair requirementsWorking safely and effectively, maintaining a tidy and clean workplace.Detecting and diagnosing faults in engines and motor vehicle partsWhat you need to have for the job ...Trade Qualification of equivalent Motor MechanicCurrent Drivers' Licence (inc. manual licence)Experience in use of diagnostic toolsThis is a full time position, subject to applicable visa condition.What you will be paid ...$78,000 to $89,200/annum, (package, dependent on experience)Australian applicants and also Overseas applicants are encouraged to apply. We have a FNQ DAMA Labour Agreement in place, enabling sponsorship to suitable and qualified mechanics up to the age of 55 years.  Pre-approved for sub-class 494 Visa.",https://au.jora.com/job/Motor-Mechanic-338b687bfb202c30ae08c9481bfe4a72?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=6d9e4b0819299dd2598daed23a569544&sp=sserp&sponsored=true&sq=sponsorship+available&sr=2&tk=19tqQFjw9zSJL7odJaqx-AB2J2pflVJ6t7YzGMxlm&trigger_source=serp
Jora,Barber,The Barber Co.Sydney,Sydney NSW,"$73,000 - $83,000 a year","The Barber Co.Sydney is hiring a Full time Barber role in Sydney, NSW. Apply now to be part of our team.Job summary:Looking for candidates available to work:Tuesday: MorningWednesday: MorningThursday: MorningFriday: MorningSaturday: MorningMore than 4 years of relevant work experience required for this roleWork visa will be provided for this roleExpected salary: $73,000 - $83,000 per yearThis is an immediate start positionThe Barber Co.SydneyA  Boutique Barbershop in the heart of Sydney CBD. We are looking for Barbers  male or female, who are proficient and at the highest level in all aspects of men’s grooming (including straight razor,shaves,fades,style cuts and beard shaping.)Great customer service and communication skills a must.Salary from $73.000 to $83.000 per annum.Must have current applicable working visa ,sponsorship may be available for the right applicants.If you would like to know more about us, you can visit our website:www.thebarbercosydney.com.au nnum.Must have current applicable working visa ,sponsorship may be available for the right applicants.If you would like to know more about us, you can visit our website",https://au.jora.com/job/Barber-63d5ad0eab1f2ec928f460427a1a05d2?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=92f934340ac99f6534f9f229c977b731&sp=sserp&sponsored=true&sq=sponsorship+available&sr=3&tk=19tqQFjw9zSJL7odJaqx-AB2J2pflVJ6t7YzGMxlm&trigger_source=serp
Jora,Chef,Burrow Bar,Sydney NSW,"$75,000 - $80,000 a year","Burrow Bar is hiring a Full time Chef role in Sydney, NSW. Apply now to be part of our team.Job summary:Looking for candidates available to work:Monday: Morning, Afternoon, EveningTuesday: Morning, Afternoon, EveningWednesday: Morning, Afternoon, EveningThursday: Morning, Afternoon, EveningFriday: Morning, Afternoon, EveningSaturday: Morning, Afternoon, EveningSunday: Morning, Afternoon, Evening1 year of relevant work experience required for this roleWork visa will be provided for this roleExpected salary: $75,000 - $80,000 per yearJob Title: Full-Time Chef – Modern Vietnamese Cuisine (TSS 482 Visa Sponsorship Available)Location: Sydney, NSWSalary: $75,000 – $80,000 per annum (plus super)Employment Type: Full-Time, OngoingAbout Us:We are a vibrant and fast-growing modern Vietnamese restaurant located in Sydney, celebrating the rich flavours of Vietnam with a contemporary twist. Our menu is a creative fusion of traditional Vietnamese recipes and modern culinary techniques, using fresh, locally sourced ingredients. We are seeking a skilled and passionate Chef to join our team. Visa sponsorship (TSS 482) is available for the right candidate.Key Responsibilities:Prepare and cook a wide variety of modern Vietnamese dishes to a consistently high standardAssist in developing and refining menu items with a focus on innovation and authenticityManage day-to-day kitchen operations and ensure food is prepared efficiently and safelySupervise junior kitchen staff and assist with training as neededMonitor food quality, presentation, and portion controlEnsure compliance with food safety, hygiene, and OH&S standardsMaintain inventory, assist with ordering, and manage stock rotationSkills & Experience Required:Relevant industrial full-time experience as a Chef (post-qualification) preferred",https://au.jora.com/job/Chef-47306f39ee2754795ffef048c5369570?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=4b1e829e2a8ab6fee40e1b2fc02c2ecb&sp=sserp&sponsored=true&sq=sponsorship+available&sr=4&tk=19tqQFjw9zSJL7odJaqx-AB2J2pflVJ6t7YzGMxlm&trigger_source=serp
Jora,Cafe Management Couple (Front-of-House) – Sponsorship Available,Kpat Hotels,Brisbane QLD,"$125,000 - $125,000 a year","We have a rare opening for aCafe Management Coupleto lead the relaunch of our contemporary café in the heart of Toowoomba—an exciting opportunity to help launch a rebranding of the café and build a vibrant team and cultivate loyal customers. Nestled within the modern, 102‑room Oaks Toowoomba Hotel and part of a thriving full-service hotel product alongside a large conference centre and contemporary gastro-pub, this position benefits from a fully equipped, staffed kitchen shared with our sister venues. As a dynamic duo, you'll deliver an inviting, well-run café experience every day, serving hotel guests and the general public, with the flexibility to expand from breakfast into lunch service and additional catering & take away offerings.As aCafe Management Couple, you will:Lead from the frontline:Manage a small close-knit team and all things FOH—greetings, coffee service, seating, flow, service recoveryWork as a team:Collaboratively run shifts, support one another, and set service benchmarksStaff development:Recruit, roster, coach, and inspire casual and part-time staffOperational execution:Oversee ordering, stock, cash handling, opening/closing, and shift handoversBrand-building:Contribute to café relaunch strategy—from service style to ambience and to customer experienceGuest engagement:Deliver outstanding hospitality consistentlyProfessional standards:Maintain pristine presentation, hygiene, café cleanliness, and adherence to RSAProactive management:Troubleshoot on the fly and make smart, timely decisions in a busy environmentThe ideal candidates will bring:Hospitality leadership: Experience assisting or managing teams in high‑volume café environment.Operational mindset: Strong business acumen, product knowledge, and a focus on driving efficient, profitable outcomes.People skills: Ability to motivate staff, foster a strong team culture, and build rapport with guests.Availability: Flexibility for weekend —this role is hands-on and high-energy.Service passion: A genuine love for hospitality and delivering exceptional guest experiences.Professional standards:High on hygiene, time management, and café presentationBarista ability:One or both of you have, Australian cafe barista experience—or can create great espresso shots and latte art under pressureThe Venue:·Modern Café Concept:Positioned for a brand refresh and exciting new direction·Premier CBD Location:High foot traffic in central Toowoomba·Fully Equipped:Spacious, well-appointed café ready for your leadership·Reporting:Work directly with the Regional Manager and collaboratively with the wider property·Business Growth:Huge potential to grow this café—and your careers—as a leadership team·Open Daily:Breakfast service, with opportunities to introduce lunch menu and cateringWhy join us:·Leadership & Autonomy:A rare opportunity to co-manage and shape a café experience·Strong Support & Culture:Collaborative environment with scope for creativity·Attractive Package:Competitive salary, bonuses, and assistance with relocation/sponsorship·Career Prospects:Grow with us and the business—this is just the beginning of our café’s journey",https://au.jora.com/job/Cafe-Management-Couple-0504abe26a4149cf1e855682934d2218?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=1b08a20aeacabde78d071b5a80de3217&sp=serp&sponsored=false&sq=sponsorship+available&sr=5&tk=19tqQFjw9zSJL7odJaqx-AB2J2pflVJ6t7YzGMxlm&trigger_source=serp
Jora,Sales Consultant,The Abundant Society,Redland Bay QLD,N/A,"The Abundant Society is hiring a Part time Sales Consultant role in Redland Bay, QLD. Apply now to be part of our team.Job summary:Flexible hours available2-3 years of relevant work experience required for this roleJob Type:Choose Your Own Hours (Full-time or Part-time - Remote Work)We’re looking for a driven professional with at least 2 years of full-time experience in sales, marketing, or a similar role. If you enjoy working with purpose, creating genuine connections, and sharing solutions that help others grow, this could be the direction you’ve been looking for.About The Abundant SocietyAt The Abundant Society, we provide digital resources and live learning environments designed to support individuals in strengthening self-leadership, mindset, and clarity. Our focus is on empowering people to take ownership of their direction - personally and professionally.We’re expanding our team with individuals who value flexibility, meaningful contribution, and professional growth. This role offers freedom around when and where you work, with earnings that reflect the effort and outcomes you create.What You’ll Be DoingCommunicate with individuals who are actively seeking growth or direction in their life or work.Share information about our digital programs using modern tools and communication platforms.Participate in weekly online team sessions to stay aligned and continue learning.Commit to at least 15–20 hours per week on your own schedule.Be part of a purpose-led team that encourages progress, ownership, and learning.What You’ll Bring2–5+ years of experience in a sales, marketing, or client-focused role.Clear, confident communication skills - both written and verbal.Comfortable with tools such as Zoom, email platforms, and basic digital systems.Strong organisational habits and the ability to stay on task without supervision.A personal interest in self-development, mindset work, or growth-oriented learning.Resides in Australia or New Zealand.Why You’ll Value This RoleYou’ll have control over your time and how you structure your week.You’ll be part of a values-driven team with a shared focus on purpose and progress.You’ll access training and resources to support your own development.You’ll work in a role that feels aligned with what matters most to you.Additional NotesThis is a performance-based role with uncapped earning potential.Not suitable for student visas or individuals requiring sponsorship.If you're ready for a fresh direction that supports both your growth and others’, we’d love to hear from you.Apply now to learn more about working with The Abundant Society.",https://au.jora.com/job/Sales-Consultant-a87370f843a6adac717fad6108a8452e?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=06916e7c56beb6c9ab30d61e9f38ef2b&sp=sserp&sponsored=true&sq=sponsorship+available&sr=6&tk=19tqQFjw9zSJL7odJaqx-AB2J2pflVJ6t7YzGMxlm&trigger_source=serp
Jora,Full Time Chef,Optura,Hawthorn VIC,"$70,000 - $80,000 a year","Elevate Your Culinary Journey with Third Wave BBQ! 🍴✨Brought to you by the culinary masterminds behind Third Wave, we are thrilled to announce exciting opportunities at our innovative dining destinations.What's Cooking?From slow-smoked meats and classic burgers to our crazy specials, our diverse menu guarantees an irresistible treat for every palate. With an Automated FOH, dining just became even more delightful!Join the Culinary Brigade!We're scouting for culinary wizards to join our dynamic team.Chefs $70 - $85k salaryWhy Third Wave BBQ?Professional Growth:Receive comprehensive training at our renowned Third Wave restaurants.Flexibility:Enjoy day, evening, or weekend shifts; we understand the importance of work-life balance.Opportunities:Whether full-time or part-time, your culinary prowess is welcome here.Sponsorship:If you've got the flair we're after, sponsorship could be on the cards (candidates must reside in Australia for sponsorship consideration and have at least 5 years of experience).What We Seek:Minimum of 2 years culinary experience in bustling settings.Roles available inHawthorn, Carnegie and Moorabbin.Curious to know more about our culinary voyage? Dive in:@thirdwavebbq on Facebook / Instagramwww.thirdwavebbq.com.auReady to stir up a storm? Let your culinary journey with Third Wave Cafe begin today!Sponsorship available for only those living in Melbourne",https://au.jora.com/job/Chef-a2ff5f2f970873c1a12126324c9eb5e8?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=903dc442531cb3557346d90b00113893&sp=serp&sponsored=false&sq=sponsorship+available&sr=7&tk=19tqQFjw9zSJL7odJaqx-AB2J2pflVJ6t7YzGMxlm&trigger_source=serp
Jora,Office Manager,GTec Associates,Southport QLD,"$52,902 - $107,790 a year","GTec Associates is hiring a Full time Office Manager role in Southport, QLD. Apply now to be part of our team.Job summary:Looking for candidates available to work:Monday: Morning, AfternoonTuesday: Morning, AfternoonWednesday: Morning, AfternoonThursday: Morning, AfternoonFriday: Morning, Afternoon2-3 years of relevant work experience required for this roleExpected salary: $52,902 - $107,790 per yearOffice Manager RoleWe are seeking a highly organised and proactive Office Manager to join our team. The ideal candidate will be a self-starter with excellent communication skills and a proven ability to manage multiple priorities in a fast-paced environment. This full-time position is based in Southport, Gold Coast, Australia.ResponsibilitiesManage general office administration, including supplies, equipment, and facilities.Oversee reception duties, including greeting visitors and managing incoming calls.Coordinate meetings, appointments, and travel arrangements.Manage and maintain accurate office records and filing systems.Assist with human resources tasks, including onboarding new employees and maintaining employee records.Liaise with vendors and suppliers to ensure efficient office operations.Prepare reports, presentations, and correspondence as required.Support the team with various administrative tasks when required, including parts ordering.Overseeing Fleet ManagementQualifications and ExperienceProven experience (minimum 2 years) as an Office Manager or in a similar administrative role within the Automotive IndustryExperience managing large fleets (60 plus vehicles)Must have experience with Cabcharge equipment and reporting.Experience working within the automotive industry, including PartsCheck.Proficiency in Google Suite or Microsoft Office Suite (Word, Excel, PowerPoint, Outlook) or similar.Excellent organisational and time management skills.Strong written and verbal communication abilities.Ability to work independently and as part of a team.Attention to detail and problem-solving skills.Experience with HR administration is a plus.Applicants must demonstrate English language proficiency as required for Australian skilled migration visas (e.g., IELTS, PTE Academic).What We OfferA supportive and collaborative work environment.Opportunities for professional development.Competitive salary and benefits.The successful candidate will be employed under Australian workplace laws and conditions.Sponsorship under the Temporary Skill Shortage (TSS) (subclass 482) visa may be considered for the right candidate.How to ApplyPlease submit your resume and a cover letter outlining your relevant experience and qualifications within the online portal. In your cover letter, please indicate if you would require sponsorship under the Temporary Skill Shortage (TSS) (subclass 482) visa program.",https://au.jora.com/job/Office-Manager-e2b32df812de5d737edc93e9d7c4b95e?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=06d96310b01ac166b22a5f1bf913f93b&sp=sserp&sponsored=true&sq=sponsorship+available&sr=8&tk=19tqQFjw9zSJL7odJaqx-AB2J2pflVJ6t7YzGMxlm&trigger_source=serp
Jora,Cafe Manager,Leaf Cafe & Co Marsden Park,Marsden Park NSW,$30 - $40 an hour,"Leaf Cafe &amp; Co Marsden Park is hiring a Full time Cafe Manager role in Marsden Park, NSW. Apply now to be part of our team.Job summary:Flexible hours available2-3 years of relevant work experience required for this roleExpected salary: $30 - $40 per hour🌿 We’re Hiring: Café Manager – Leaf Café Marsden Park 🌿Are you passionate about coffee, hospitality, and leading a high-performing team? Leaf Café Marsden Park is on the lookout for a dynamicCafé Managerto take the reins and help us deliver exceptional service, quality food, and unforgettable customer experiences.📍 Location:Leaf Café, Marsden Park🕒 Full-Time Position | Immediate Start AvailableWhat You’ll Do:Oversee day-to-day café operationsLead and inspire a passionate team of baristas and front-of-house staffEnsure top-notch customer service and product qualityManage stock, ordering, rosters, and budgetsDrive a positive and productive team cultureWork closely with ownership to grow and improve the businessWhat We’re Looking For:Previous experience in café or hospitality managementStrong leadership and communication skillsA hands-on, can-do attitudePassion for coffee, food, and great serviceAbility to work under pressure in a fast-paced environmentBarista experience is a big plus!Why Join Us?Supportive and friendly teamOpportunities for growth within the Leaf Café brandA modern, community-focused venue with loyal regularsStaff discounts & performance incentives📩Interested?Send your resume to***********@leafcafe.com.au📣 Sponsorship available for the right candidate!Join us in brewing something special every day ☕💚",https://au.jora.com/job/Cafe-Manager-5b4590fdbdf0f8d28f6e896ce0581b2e?abstract_type=original&disallow=true&fsv=true&sl=Australia&sol_key=bb8600c27255c009ee30560a81569dae&sp=sserp&sponsored=true&sq=sponsorship+available&sr=9&tk=19tqQFjw9zSJL7odJaqx-AB2J2pflVJ6t7YzGMxlm&trigger_source=serp
Jora,Stone Mason – Full-Time | Visa Sponsorship Available (QLD),Dimension Stone,Arundel QLD,N/A,"STONE MASONS: QueenslandAbout the roleAre you a skilled Stone Mason looking for an exciting full-time opportunity? Dimension Stone, a leading provider of high-quality stone products, is seeking an experienced Stone Mason to join their team based in Arundel, Queensland. This is a permanent, full-time position with the potential for visa sponsorship.What you'll be doingExpertly shape, carve and finish natural stone products to meet precise specifications and design requirementsUse hand and tools to cut, trim, and polish stone materials with a high degree of accuracyRead and interpret blueprints, sketches, and other technical documents to understand project requirementsCollaborate with the broader team to ensure the timely and efficient delivery of stone products to clientsMaintain a safe and organised work area, following all health and safety protocolsContinuously develop your skills and knowledge to stay up-to-date with industry best practicesWhat we're looking forProven experience as a Stone Mason, with at least 3-5 years of hands-on experience in the tradeStrong technical skills in shaping, carving, and finishing natural stone products using hand and power toolsValid Australian work rights OR eligibility for visa sponsorship(must be currently in AU)Ability to read and interpret technical drawings, blueprints, and other specificationsExcellent attention to detail and a commitment to producing high-quality workStrong problem-solving and critical thinking skills to overcome challenges during projectsEffective communication and collaboration skills to work seamlessly with the broader teamA valid driver's licence and the ability to travel to project sites as requiredAbout usDimension Stonehas grown  to become one of the most trusted and reliable suppliers and installers of Stone products. With Factories now in Queensland and Victoria ,Dimension Stoneis fast becoming a destination of choice for Employees and Customers alike . We continue to refine and seek new products, new techniques and state of the art machinery to ensure that we become Leaders in our industry. We pride ourselves on being specialists in natural stone, porcelain, Dekton, and zero silica stone.The successful applicants will be required to undertake a pre-employment medical check.",https://au.jora.com/job/Stone-Mason-Full-1fdf14281879c6b7f1624c8db39dcca0?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=15e4fe69de27cdd892b1ca25ec280ca2&sp=serp&sponsored=false&sq=sponsorship+available&sr=10&tk=19tqQFjw9zSJL7odJaqx-AB2J2pflVJ6t7YzGMxlm&trigger_source=serp
