title,company,location,salary,description,job_url
BARISTA-WENDOUREE AND DELACOMBE  POSITIONS- BUSY CAFE- SPONSORSHIP AVAILABLE,The Wildseed Cafe,Ballarat Central VIC,N/A,"The Wildseed Cafe is hiring a Full time  BARISTA-**WENDOUREE AND DELACOMBE  POSITIONS***- BUSY CAFE- SPONSORSHIP AVAILABLE  role in Ballarat Central, VIC. Apply now to be part of our team.Job summary:Looking for candidates available to work:Monday: Morning, AfternoonTuesday: Morning, AfternoonWednesday: Morning, AfternoonThursday: Morning, Afternoon, EveningFriday: Morning, Afternoon, EveningSaturday: Morning, Afternoon, EveningSunday: Morning, Afternoon2-3 years of relevant work experience required for this roleWildseed Cafeis looking for an Experienced Barista all Rounder (minimum 2 yrs experience with specialty coffee) to join our Team at our cafe in prime location in Ballarat.We are committed to providing an exceptional experience to our customers in all aspects of their interactions with us.What you needKnowledge of dialing in and closing down a coffee machine and coffee grindersKnowledge of DosingCompetent in texturing and pouring milk with latte artWorked with volume coffee in a busy environmentPassionate about coffee with great customer service skillsProfessional and attention to detailsStock orderingWhat we can offerNo Night time (Cafe Hours 8am - 4pm only)The excellent pay for the right candidateA fun, fast and exciting work environmentOpportunity to work with great coffees and the best equipmentWork with an amazing team of committed membersOpportunities to advance in a growing companyTailored training and skills extension",https://au.jora.com/job/Barista-02c4583ed326064175b20bd869b57cfe?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=8f3e0f5e96b9823a0d20df814e4681bf&sp=sserp&sponsored=true&sq=sponsorship+available&sr=1&tk=h97PV9ZqhSfiWLqNMcLW-SDR7qqaXGUPS3PF991iq&trigger_source=serp
Motor Mechanic,Ultra Tune Cairns,Cairns City QLD,"$78,000 - $89,200 a year","Ultra Tune Cairns is hiring a Full time Motor Mechanic role in Cairns City, QLD. Apply now to be part of our team.Job summary:Looking for candidates available to work:Monday: Morning, AfternoonTuesday: Morning, AfternoonWednesday: Morning, AfternoonThursday: Morning, AfternoonFriday: Morning, Afternoon2-3 years of relevant work experience required for this roleWork visa will be provided for this roleExpected salary: $78,000 - $89,200 per yearMOTOR MECHANIC - CAIRNS (QLD)About Us ...Ultra Tune is a leading National Franchise of over 260 service centres in Australia. This position is located in stunning Tropical North Queensland. We are a small family run business with 2 Ultra Tune service centres and 1 independent auto centre, having been in business in Cairns for over 27 years. We are looking to employ a trade qualified motor mechanic to join our team in Cairns or nearby Smithfield.What we can offer you ...Job security and great working conditionsVariety of workA great team of mechanics to work withSponsorship potential for the right candidateWhat you will be doing ...General servicing of vehicles and 4WD vehicles, over a variety of makes and modelsDetecting and diagnosing faults in engines and motor vehicle partsGeneral repairs and maintenance including brakes, suspension, tyres and other repair requirementsWorking safely and effectively, maintaining a tidy and clean workplace.Detecting and diagnosing faults in engines and motor vehicle partsWhat you need to have for the job ...Trade Qualification of equivalent Motor MechanicCurrent Drivers' Licence (inc. manual licence)Experience in use of diagnostic toolsThis is a full time position, subject to applicable visa condition.What you will be paid ...$78,000 to $89,200/annum, (package, dependent on experience)Australian applicants and also Overseas applicants are encouraged to apply. We have a FNQ DAMA Labour Agreement in place, enabling sponsorship to suitable and qualified mechanics up to the age of 55 years.  Pre-approved for sub-class 494 Visa.",https://au.jora.com/job/Motor-Mechanic-338b687bfb202c30ae08c9481bfe4a72?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=794655c02255d28be5ee8a34365a20ce&sp=sserp&sponsored=true&sq=sponsorship+available&sr=2&tk=h97PV9ZqhSfiWLqNMcLW-SDR7qqaXGUPS3PF991iq&trigger_source=serp
Assistant Accountant - Mandarin Speaking | Sponsorship available,BrillianTalent,Sydney CBD NSW,"$65,000 - $65,000 a year",My Client is one of the fastest-growing commercial property asset management companies in AustraliaJob ResponsibilitiesHandle daily bookkeeping and quarterly GST submissionsReview monthly reports and organize financial dataAssist and coordinate with external accountants and auditorsSupport asset acquisition work and complete information collection and filingOther finance-related support tasksRequirementsCurrently holding a valid visa that allows work in AustraliaAccounting-related degree from a local Australian universityProficient in various office softwareCA/CPA qualification preferredFamiliarity with accounting software such as QuickBooks and XERO is a plusExperience at a Big Four accounting firm is a plusExperience in retail or commercial property finance is a plusSponsorship available!!!Ready to apply?Apply now or contact our recruitment consultantJane Zhengat**********@brilliantalent.com.auOnly shortlisted candidates will be contacted.,https://au.jora.com/job/Assistant-Accountant-0c61384ea672d44275258729c658aa56?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=805e2c6cecdf252ba922d0acf06474a2&sp=serp&sponsored=false&sq=sponsorship+available&sr=3&tk=h97PV9ZqhSfiWLqNMcLW-SDR7qqaXGUPS3PF991iq&trigger_source=serp
Assistant Accountant - CA/CPA sponsorship available,Perigon Group,Sydney CBD NSW,"$80,000 - $85,000 a year","The OpportunityPLEASE ONLY APPLY IF YOU ARE AN AUSSIE CITIZEN OR AUSSIE PERMANENT RESIDENTOur client is a large ASX listed group, seeking a switched on Junior Accountant for a newly created role. The business has continued to do remarkably well and are in a strong position to warrant added headcount. The role sits within a large and established finance team, and offers great hands-on development for the successful candidate, with a clear pathway to progress.CA/CPA sponsorship on offer for one lucky candidate!The roleA broad mix of month end, transactional accounting, and reconciliationsPreparation of month end accountsAssisting accounts payables and accounts receivablesMaintenance of P&L and the balance sheetReconciliation of general ledger and subledger accountsDaily cashflow management and forecastingOwnership of rebates, trade spend, supplier recoveries ensuring all transactions recorded in line with commercial agreementsAssist with the development, maintenance and compliance with internal control processesAdhoc support with budgeting, analysis and other requirements of the finance functionAbout youCirca 2 years experience in an Accounts Clerk or Assistant Accountant roleIntention to complete CA/CPA, if not already startedAussie Citizen or PR - you will not be contacted if you don't have the correct works rights, sorry.",https://au.jora.com/job/Assistant-Accountant-13577d51b0203a132b33463f18b3c545?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=741a83a359adfdb3dce616e3f7c53fa1&sp=serp&sponsored=false&sq=sponsorship+available&sr=4&tk=h97PV9ZqhSfiWLqNMcLW-SDR7qqaXGUPS3PF991iq&trigger_source=serp
Stone Mason – Full-Time | Visa Sponsorship Available (QLD),Dimension Stone,Arundel QLD,N/A,"STONE MASONS: QueenslandAbout the roleAre you a skilled Stone Mason looking for an exciting full-time opportunity? Dimension Stone, a leading provider of high-quality stone products, is seeking an experienced Stone Mason to join their team based in Arundel, Queensland. This is a permanent, full-time position with the potential for visa sponsorship.What you'll be doingExpertly shape, carve and finish natural stone products to meet precise specifications and design requirementsUse hand and tools to cut, trim, and polish stone materials with a high degree of accuracyRead and interpret blueprints, sketches, and other technical documents to understand project requirementsCollaborate with the broader team to ensure the timely and efficient delivery of stone products to clientsMaintain a safe and organised work area, following all health and safety protocolsContinuously develop your skills and knowledge to stay up-to-date with industry best practicesWhat we're looking forProven experience as a Stone Mason, with at least 3-5 years of hands-on experience in the tradeStrong technical skills in shaping, carving, and finishing natural stone products using hand and power toolsValid Australian work rights OR eligibility for visa sponsorship(must be currently in AU)Ability to read and interpret technical drawings, blueprints, and other specificationsExcellent attention to detail and a commitment to producing high-quality workStrong problem-solving and critical thinking skills to overcome challenges during projectsEffective communication and collaboration skills to work seamlessly with the broader teamA valid driver's licence and the ability to travel to project sites as requiredAbout usDimension Stonehas grown  to become one of the most trusted and reliable suppliers and installers of Stone products. With Factories now in Queensland and Victoria ,Dimension Stoneis fast becoming a destination of choice for Employees and Customers alike . We continue to refine and seek new products, new techniques and state of the art machinery to ensure that we become Leaders in our industry. We pride ourselves on being specialists in natural stone, porcelain, Dekton, and zero silica stone.The successful applicants will be required to undertake a pre-employment medical check.",https://au.jora.com/job/Stone-Mason-Full-1fdf14281879c6b7f1624c8db39dcca0?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=271d2dbbf10047b01654ce237c56c22e&sp=serp&sponsored=false&sq=sponsorship+available&sr=5&tk=h97PV9ZqhSfiWLqNMcLW-SDR7qqaXGUPS3PF991iq&trigger_source=serp
Office Manager,GTec Associates,Southport QLD,"$52,902 - $107,790 a year","GTec Associates is hiring a Full time Office Manager role in Southport, QLD. Apply now to be part of our team.Job summary:Looking for candidates available to work:Monday: Morning, AfternoonTuesday: Morning, AfternoonWednesday: Morning, AfternoonThursday: Morning, AfternoonFriday: Morning, Afternoon2-3 years of relevant work experience required for this roleExpected salary: $52,902 - $107,790 per yearOffice Manager RoleWe are seeking a highly organised and proactive Office Manager to join our team. The ideal candidate will be a self-starter with excellent communication skills and a proven ability to manage multiple priorities in a fast-paced environment. This full-time position is based in Southport, Gold Coast, Australia.ResponsibilitiesManage general office administration, including supplies, equipment, and facilities.Oversee reception duties, including greeting visitors and managing incoming calls.Coordinate meetings, appointments, and travel arrangements.Manage and maintain accurate office records and filing systems.Assist with human resources tasks, including onboarding new employees and maintaining employee records.Liaise with vendors and suppliers to ensure efficient office operations.Prepare reports, presentations, and correspondence as required.Support the team with various administrative tasks when required, including parts ordering.Overseeing Fleet ManagementQualifications and ExperienceProven experience (minimum 2 years) as an Office Manager or in a similar administrative role within the Automotive IndustryExperience managing large fleets (60 plus vehicles)Must have experience with Cabcharge equipment and reporting.Experience working within the automotive industry, including PartsCheck.Proficiency in Google Suite or Microsoft Office Suite (Word, Excel, PowerPoint, Outlook) or similar.Excellent organisational and time management skills.Strong written and verbal communication abilities.Ability to work independently and as part of a team.Attention to detail and problem-solving skills.Experience with HR administration is a plus.Applicants must demonstrate English language proficiency as required for Australian skilled migration visas (e.g., IELTS, PTE Academic).What We OfferA supportive and collaborative work environment.Opportunities for professional development.Competitive salary and benefits.The successful candidate will be employed under Australian workplace laws and conditions.Sponsorship under the Temporary Skill Shortage (TSS) (subclass 482) visa may be considered for the right candidate.How to ApplyPlease submit your resume and a cover letter outlining your relevant experience and qualifications within the online portal. In your cover letter, please indicate if you would require sponsorship under the Temporary Skill Shortage (TSS) (subclass 482) visa program.",https://au.jora.com/job/Office-Manager-e2b32df812de5d737edc93e9d7c4b95e?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=08f89ef12b82a55e0582d493d23a67d6&sp=sserp&sponsored=true&sq=sponsorship+available&sr=6&tk=h97PV9ZqhSfiWLqNMcLW-SDR7qqaXGUPS3PF991iq&trigger_source=serp
Chef,Trackway Careers Pty Ltd,Melbourne VIC,"$76,000 - $85,000 per month","Trackway Careers Pty Ltd is hiring a Full time Chef role in Melbourne, VIC. Apply now to be part of our team.Job summary:Flexible hours available2-3 years of relevant work experience required for this roleExpected salary: $76,000 - $85,000 per monthLocationCowes VICTrackway Careers Pty Ltd is advertising this position on behalf of our valued client.Full job descriptionGullivers Wine Bar and Eatery, nestled in the heart of Cowes, is a destination celebrated for its distinctive blend of fine wines and gourmet cuisine. With a focus on providing an exceptional dining experience, we source local, artisanal ingredients to create unique dishes that delight and inspire. Our establishment is renowned for its vibrant atmosphere, stunning views, and commitment to culinary excellence.We’re Looking For:An experienced Chef (ANZSCO 351311) who is passionate about food and flavours, eager to bring their creative flair and expertise to our kitchen team. This full-time role offers the opportunity to be a part of a dynamic culinary environment, where innovation meets tradition.Location:62-66 Thompson Ave, Cowes, VIC 3922Key Responsibilities:Design and implement seasonal menus, optimise food and labour costs, and manage ingredient procurement to align with our emphasis on local and sustainable products.Oversee every stage of dish preparation, from concept to plating, ensuring each dish meets our high standards of quality and presentation.Collaborate with management and staff, including kitchen and service teams, to enhance our food offerings and address culinary challenges creatively.Train and mentor kitchen staff on new techniques and culinary practices, fostering a culture of learning and excellence.Maintain stringent hygiene and safety standards in the kitchen, actively promoting and overseeing compliance.Participate in the selection and development of kitchen staff to build a cohesive and skilled team.Engage in preserving techniques to capture the peak flavour and freshness of seasonal produce.Requirements:At least 3 years of experience in a professional kitchen.AQF associate degree, Advanced Diploma, or Diploma in Culinary Arts or a related field.Strong understanding of various cooking methods, ingredients, equipment, and procedures.Excellent communication and leadership skills, with an ability to motivate and inspire.Adept at managing multiple tasks in a fast-paced environment.Personal Attributes:Creativity and passion for food and culinary arts.Commitment to quality and excellence in service.Strong team player with a collaborative approach.Proactive and diligent in managing kitchen operations.Compensation:Salary range: $76,000 - $85,000 plus superannuation per annum, depending on experience and qualifications.Join us at Gullivers Wine Bar and Eatery and contribute to a culinary experience that’s truly memorable. Apply today to take the next step in your culinary career with a team that values innovation and quality!Visa sponsorship: Nomination for temporary work visa and/or Permanent Residency will be considered for eligible candidates.PLEASE NOTE: Only successful candidates will receive a reply. Applicants who contact the employer directly or submit applications outside of this online portal will not be considered.Job Type: Full-time",https://au.jora.com/job/Chef-79784ce7c16b1ef389487698f8307e9c?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=d1197841b9572de368f592833058a369&sp=sserp&sponsored=true&sq=sponsorship+available&sr=7&tk=h97PV9ZqhSfiWLqNMcLW-SDR7qqaXGUPS3PF991iq&trigger_source=serp
Full Time Chef,Optura,Hawthorn VIC,"$70,000 - $80,000 a year","Elevate Your Culinary Journey with Third Wave BBQ! 🍴✨Brought to you by the culinary masterminds behind Third Wave, we are thrilled to announce exciting opportunities at our innovative dining destinations.What's Cooking?From slow-smoked meats and classic burgers to our crazy specials, our diverse menu guarantees an irresistible treat for every palate. With an Automated FOH, dining just became even more delightful!Join the Culinary Brigade!We're scouting for culinary wizards to join our dynamic team.Chefs $70 - $85k salaryWhy Third Wave BBQ?Professional Growth:Receive comprehensive training at our renowned Third Wave restaurants.Flexibility:Enjoy day, evening, or weekend shifts; we understand the importance of work-life balance.Opportunities:Whether full-time or part-time, your culinary prowess is welcome here.Sponsorship:If you've got the flair we're after, sponsorship could be on the cards (candidates must reside in Australia for sponsorship consideration and have at least 5 years of experience).What We Seek:Minimum of 2 years culinary experience in bustling settings.Roles available inHawthorn, Carnegie and Moorabbin.Curious to know more about our culinary voyage? Dive in:@thirdwavebbq on Facebook / Instagramwww.thirdwavebbq.com.auReady to stir up a storm? Let your culinary journey with Third Wave Cafe begin today!Sponsorship available for only those living in Melbourne",https://au.jora.com/job/Chef-a2ff5f2f970873c1a12126324c9eb5e8?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=943db510b87f204e8ad4908fe9d13b9d&sp=serp&sponsored=false&sq=sponsorship+available&sr=8&tk=h97PV9ZqhSfiWLqNMcLW-SDR7qqaXGUPS3PF991iq&trigger_source=serp
Disability Support Worker,Estia Foundation of Australia,Gladesville NSW,"$70,000 - $85,000 a year","Estia Foundation of Australia is hiring a Full time Disability Support Worker role in Gladesville, NSW. Apply now to be part of our team.Job summary:Flexible hours availableNo experience required for this roleExpected salary: $70,000 - $85,000 per yearThe Estia Foundation is seeking a person to provide direct hands on care to adults (18 years - 65 years) with intellectual and physical disabilities in a supported accommodation environment. This includes assistance in all aspects of daily living including feeding, personal hygiene and community access.The Estia Foundation of Australia operates six facilities: two in Gladesville, one in North Ryde and three in Blakehurst .The successful applicant would be based at one of our facilities but would need to be willing to travel to any facility in the above locations if the need arose according to the rotating, shift work roster.Key Responsibilities (but not limited to):1. Providing direct quality care to service users in accordance to individual needs and a person centred approach.2. To transport and accompany service users to facilities in the local community, including medical appointments.3. Administration of medications in Webster Packs.4. Good written and verbal communication skills and completion of set documentation.5. Ensuring service users have their meals, sometimes feeding, meal preparation and adhering to nutrition and dietary needs.6. Ensuring personal hygiene of service users is upheld on a daily basis including assistance in bowel care.7. Ensuring facility is hygienically maintained with a high level of performance and safety.8. Use of mobility aid equipment.The following are essential. Applicants who do not possess the following criteria need not apply.Essential:• Full current NSW Drivers Licence with confidence to drive. No International Licence are accepted.• Effective oral and written communication in English.• Ability to write comprehensive reports and other administrative tasks.• Experienced preferred in the disability field and/or aged care.• Good at domestic duties.Willingness and flexibility towork rotating shiftsincluding weekends.• Based at one of the following facilities: Blakehurst, Gladesville, North Ryde but has a willingness to travel to any of those facilities.• Current First Aid Certificate.• Current Police Check clearance.• NDIS Worker Orientation Module Certificate and NDIS Worker Screening number.• Full working rights within Australia. Estia does not offer sponsorship.Salary: $70000 - $85000 per annum, plus penalty rates and over time rates apply. Salary Sacrifice available.Please forward your resume to *****@estia.org.au",https://au.jora.com/job/Disability-Support-Worker-c305784ed458f9e3146c17b405d5878a?abstract_type=original&disallow=true&fsv=true&sl=Australia&sol_key=566814ac3d8e92d86793d3cc345aa8be&sp=sserp&sponsored=true&sq=sponsorship+available&sr=9&tk=h97PV9ZqhSfiWLqNMcLW-SDR7qqaXGUPS3PF991iq&trigger_source=serp
Barber,Grooming Above Pty Ltd,Katherine NT,"$80,000 - $90,000 a year","Grooming Above Pty Ltd is hiring a Full time Barber role in Katherine South, NT. Apply now to be part of our team.Job summary:Flexible hours available2-3 years of relevant work experience required for this roleWork visa will be provided for this roleExpected salary: $80,000 - $90,000 per yearWE ARE HIRINGBarber / Hairdresser / Hairstylist / Nail TechnicianGrooming Above Pty Ltd trading as Top Cuts Millner, Darwin NT 0810Job Details:Pay - NegotiableJob Type:Casual / Part -time / Full-timeShift and schedule :8-hour shift - 10hour shift - Every weekend – Day ShiftLocation: Millner, Darwin NT 0810 / Katherine NTBenefits:Visa sponsorship offered to the right candidateGenerous hourly rateStaff discountTipsFull Job Description :We are seeking an experienced Barber / Hairdresser to join our team.About you: Minimum 3 years working experience in the Barber/Hairdressing industry preferredPassionate about all aspects of: Barbering - including haircutting & scissors cuts, shaves & beards, kids’ haircuts, restyling, advanced clipper skills (good with fades),Hairdresser – including haircutting & scissors cuts, hair colouring, up-styling, hair-treatments.Excellent grooming and presentation standardsHave a keen eye for detailBe able to work alone & in a team environmentGood work ethicsTrustworthy and reliableBe highly organised and punctualEnthusiastic and passionate team memberCompletion of daily essential dutiesBenefits & Perks:Employee discountsVisa sponsorship may be considered and offered to suitable applicantJob Types: Full-time, Part-time, CasualPay: $65,000.00 – $80,000.00 per yearBenefits:Employee discountVisa sponsorshipSchedule:10 hour shift8 hour shiftWeekend availabilityWork AuthorisationAustralia (Preferred)Work Location: In person",https://au.jora.com/job/Barber-c8380a46e95ac4b5600dca430ca32b50?abstract_type=extended_llm&disallow=true&fsv=true&sl=Australia&sol_key=890e5667ab581c65bbaa12bb46fbf4c9&sp=sserp&sponsored=true&sq=sponsorship+available&sr=10&tk=h97PV9ZqhSfiWLqNMcLW-SDR7qqaXGUPS3PF991iq&trigger_source=serp
