title,company,location,salary,description,job_url
Personal Care Staff - Sponsorship program,Kanandah Retirement Limited,"Mudgee, Blue Mountains & Central West NSW",N/A,"About usKanandah Retirement Ltd is a not-for-profit Residential Aged care providers in Mudgee, NSW, with the completion of additional wing to meet the residential care demand for up-to 96 residents. As the company is expanding, we have various opportunities opening for the candidates seeking to enhance their skills and experience. We're committed to high quality care in a safe, home-like environment where each resident is valued as an individual and a community member.Qualifications & experienceCertificate III in Aged care orCertificate IV or Diploma in Aged careMedication training certificate is an advantageTasks & responsibilitiesAbility to work independently, strive for excellence in resident care and promote an environment of harmony and trust with team and residentsProvide a professional, courteous, and sensitive clinical services to all residentsCoordinate with Registered Nurse and clinical team for note taking and documentation of residentAssist and support residents for their care needsAbility to work collaboratively in a dynamic teamAbility to work independently, strive for excellence in resident care needs and promote an environment of harmony and trust with team and residentsBenefitsSponsorship for the right candidate with residential aged care skills and experienceRewarding wages and salary packaging option availableStaff on-site parking availableTraining provided to enhance the skillsFriendly and supportive work environment",https://www.seek.com.au/job/86287490?type=promoted&ref=search-standalone#sol=61eb1cad6c85bca811893aade82fc13669f62677
Sous Chef,Hurley Hotel Group,"Mannum, Riverland & Murray Mallee SA","$80,000-$85,000 per year plus 12% superannuation","Pretoria Hotelwww.pretoriahotel.com.auHurley Hotel Groupwww.hurleyhotelgroup.com.auSous Chef, Full Time, salaried position$80,000-$85,000 per annum starting salary, negotiable based on experienceTemporary Skill Shortage 482 VISA Sponsorship available for suitable candidatesAnnual wage reviewVaried cooking styles, high quality food productWell established businessExcellent reputation for service and employmentWork with an experienced teamAbout the position:As Sous Chef at the Pretoria you will assist the Head chef with a range of responsibilities including leading and developing our experienced team, proposing menu ideas and daily specials for the Hotel, provide functions and events catering, order stock from a flexible range of nominated suppliers, provide meal service to our customers and contribute to the overall for the success of the food service operation.You will work with a dedicated team of Hospitality professionals to bring your food to our loyal customers not only by working with our excellent management and front of house service team but also through photography, digital marketing and advertising.Who are we looking for?The things that are most important to us are delicious food, great cooking skill and an understanding of the various food interests of our current and potential customers. Equally important is the right personality characteristics and communication style to assist us by leading our team well.The successful candidate will:have completed an apprenticeship and hold a Trade Qualification as a Chefhave previous experience in a busy a la carte hotel bistro, café or restaurant environmentbe a good leader, communicator and a patient trainerbe well organised and prepared in their approach to food servicehave some experience at ordering for varying customer volumeshave a strong knowledge of food safety requirementshave the ability to work calmly under pressureAbout the Company:The Pretoria Hotel enjoys an enviable location on the banks of the River Murray in Mannum with uninterrupted views of the river from the main Bar & Bistro and the lawns between.  Including a 250 seat Bistro and balcony, private function room, licensed lawn area on the riverbanks, Sip n Save bottleshop with underground wine cellar, TAB and Gaming facilities plus regular entertainment.In addition we have an outstanding reputation for meal quality and consistency, enjoying the support of locals and catering to the greater Adelaide area as a tourist destination for dining, celebrating and social occasions. We put together a strong calendar of events and dinners so there's always another occasion to enjoy, just around the corner.If this sounds like something you would like to be part of then get in touch and if we think you're a good fit we'll do the same.",https://www.seek.com.au/job/86347070?type=promoted&ref=search-standalone#sol=005d5ce31bf6c27b55597da19c44068d0cedbc81
Personal Care Staff - Sponsorship program,Kanandah Retirement Limited,"Mudgee, Blue Mountains & Central West NSW",N/A,"About usKanandah Retirement Ltd is a not-for-profit Residential Aged care providers in Mudgee, NSW, with the completion of additional wing to meet the residential care demand for up-to 96 residents. As the company is expanding, we have various opportunities opening for the candidates seeking to enhance their skills and experience. We're committed to high quality care in a safe, home-like environment where each resident is valued as an individual and a community member.Qualifications & experienceCertificate III in Aged care orCertificate IV or Diploma in Aged careMedication training certificate is an advantageTasks & responsibilitiesAbility to work independently, strive for excellence in resident care and promote an environment of harmony and trust with team and residentsProvide a professional, courteous, and sensitive clinical services to all residentsCoordinate with Registered Nurse and clinical team for note taking and documentation of residentAssist and support residents for their care needsAbility to work collaboratively in a dynamic teamAbility to work independently, strive for excellence in resident care needs and promote an environment of harmony and trust with team and residentsBenefitsSponsorship for the right candidate with residential aged care skills and experienceRewarding wages and salary packaging option availableStaff on-site parking availableTraining provided to enhance the skillsFriendly and supportive work environment",https://www.seek.com.au/job/86287490?type=standard&ref=search-standalone#sol=7683716cedd5c555553109bab932770e2316f978
Stone Mason – Full-Time | Visa Sponsorship Available (QLD),Dimension Stone,"Arundel, Gold Coast QLD",N/A,"STONE MASONS: QueenslandAbout the roleAre you a skilled Stone Mason looking for an exciting full-time opportunity? Dimension Stone, a leading provider of high-quality stone products, is seeking an experienced Stone Mason to join their team based in Arundel, Queensland. This is a permanent, full-time position with the potential for visa sponsorship.What you'll be doingExpertly shape, carve and finish natural stone products to meet precise specifications and design requirementsUse hand and tools to cut, trim, and polish stone materials with a high degree of accuracyRead and interpret blueprints, sketches, and other technical documents to understand project requirementsCollaborate with the broader team to ensure the timely and efficient delivery of stone products to clientsMaintain a safe and organised work area, following all health and safety protocolsContinuously develop your skills and knowledge to stay up-to-date with industry best practicesWhat we're looking forProven experience as a Stone Mason, with at least 3-5 years of hands-on experience in the tradeStrong technical skills in shaping, carving, and finishing natural stone products using hand and power toolsValid Australian work rights OR eligibility for visa sponsorship(must be currently in AU)Ability to read and interpret technical drawings, blueprints, and other specificationsExcellent attention to detail and a commitment to producing high-quality workStrong problem-solving and critical thinking skills to overcome challenges during projectsEffective communication and collaboration skills to work seamlessly with the broader teamA valid driver's licence and the ability to travel to project sites as requiredAbout usDimension Stonehas grown  to become one of the most trusted and reliable suppliers and installers of Stone products. With Factories now in Queensland and Victoria ,Dimension Stoneis fast becoming a destination of choice for Employees and Customers alike . We continue to refine and seek new products, new techniques and state of the art machinery to ensure that we become Leaders in our industry. We pride ourselves on being specialists in natural stone, porcelain, Dekton, and zero silica stone.The successful applicants will be required to undertake a pre-employment medical check.",https://www.seek.com.au/job/86331616?type=standard&ref=search-standalone#sol=9bdb85c54b43eacad50a906f95565090c3fe7822
Cafe Management Couple (Front-of-House) – Sponsorship Available,KPAT Hotels,Brisbane QLD,"$125,000 Combined","We have a rare opening for aCafe Management Coupleto lead the relaunch of our contemporary café in the heart of Toowoomba—an exciting opportunity to help launch a rebranding of the café and build a vibrant team and cultivate loyal customers. Nestled within the modern, 102‑room Oaks Toowoomba Hotel and part of a thriving full-service hotel product alongside a large conference centre and contemporary gastro-pub, this position benefits from a fully equipped, staffed kitchen shared with our sister venues. As a dynamic duo, you'll deliver an inviting, well-run café experience every day, serving hotel guests and the general public, with the flexibility to expand from breakfast into lunch service and additional catering & take away offerings.As aCafe Management Couple, you will:Lead from the frontline:Manage a small close-knit team and all things FOH—greetings, coffee service, seating, flow, service recoveryWork as a team:Collaboratively run shifts, support one another, and set service benchmarksStaff development:Recruit, roster, coach, and inspire casual and part-time staffOperational execution:Oversee ordering, stock, cash handling, opening/closing, and shift handoversBrand-building:Contribute to café relaunch strategy—from service style to ambience and to customer experienceGuest engagement:Deliver outstanding hospitality consistentlyProfessional standards:Maintain pristine presentation, hygiene, café cleanliness, and adherence to RSAProactive management:Troubleshoot on the fly and make smart, timely decisions in a busy environmentThe ideal candidates will bring:Hospitality leadership: Experience assisting or managing teams in high‑volume café environment.Operational mindset: Strong business acumen, product knowledge, and a focus on driving efficient, profitable outcomes.People skills: Ability to motivate staff, foster a strong team culture, and build rapport with guests.Availability: Flexibility for weekend —this role is hands-on and high-energy.Service passion: A genuine love for hospitality and delivering exceptional guest experiences.Professional standards:High on hygiene, time management, and café presentationBarista ability:One or both of you have, Australian cafe barista experience—or can create great espresso shots and latte art under pressureThe Venue:·Modern Café Concept:Positioned for a brand refresh and exciting new direction·Premier CBD Location:High foot traffic in central Toowoomba·Fully Equipped:Spacious, well-appointed café ready for your leadership·Reporting:Work directly with the Regional Manager and collaboratively with the wider property·Business Growth:Huge potential to grow this café—and your careers—as a leadership team·Open Daily:Breakfast service, with opportunities to introduce lunch menu and cateringWhy join us:·Leadership & Autonomy:A rare opportunity to co-manage and shape a café experience·Strong Support & Culture:Collaborative environment with scope for creativity·Attractive Package:Competitive salary, bonuses, and assistance with relocation/sponsorship·Career Prospects:Grow with us and the business—this is just the beginning of our café’s journey",https://www.seek.com.au/job/85970117?type=standard&ref=search-standalone#sol=2977ef195138ffaa58fa35f06241fbf547c5577d
Full Time Chef,Optura,"Hawthorn East, Melbourne VIC","$70,000 – $80,000 per year","Elevate Your Culinary Journey with Third Wave BBQ! 🍴✨Brought to you by the culinary masterminds behind Third Wave, we are thrilled to announce exciting opportunities at our innovative dining destinations.What's Cooking?From slow-smoked meats and classic burgers to our crazy specials, our diverse menu guarantees an irresistible treat for every palate. With an Automated FOH, dining just became even more delightful!Join the Culinary Brigade!We're scouting for culinary wizards to join our dynamic team.Chefs $70 - $85k salaryWhy Third Wave BBQ?Professional Growth:Receive comprehensive training at our renowned Third Wave restaurants.Flexibility:Enjoy day, evening, or weekend shifts; we understand the importance of work-life balance.Opportunities:Whether full-time or part-time, your culinary prowess is welcome here.Sponsorship:If you've got the flair we're after, sponsorship could be on the cards (candidates must reside in Australia for sponsorship consideration and have at least 5 years of experience).What We Seek:Minimum of 2 years culinary experience in bustling settings.Roles available inHawthorn, Carnegie and Moorabbin.Curious to know more about our culinary voyage? Dive in:@thirdwavebbq on Facebook / Instagramwww.thirdwavebbq.com.auReady to stir up a storm? Let your culinary journey with Third Wave Cafe begin today!Sponsorship available for only those living in Melbourne",https://www.seek.com.au/job/86335367?type=standard&ref=search-standalone#sol=b8cd0fc0fd01152844f87e244438a6f086113962
Café Manager – Full Time - NO SUNDAYS,RUSH roasting co,"Bowral, Southern Highlands & Tablelands NSW","$65,000 – $75,000 per year","Cafe Manager  - NO SUNDAYS or NIGHTSRush Roasting Co is more than just a coffee roastery—we’re a destination for quality, community, and coffee excellence. We’re now seeking a driven and experiencedCafé Managerto lead our flagship café in Bowral, NSW.This is an exciting opportunity to manage a dynamic and growing hospitality venue that showcases our specialty coffee and food offering, while being part of a passionate and supportive team. We are open to494 visa sponsorshipfor the right candidate. Best of all is we DONT OPEN SUNDAYSAbout the RoleAs Café Manager, you’ll take full ownership of daily operations and play a critical leadership role in delivering an exceptional customer experience.Key responsibilities include:Leading and motivating both front and back of house teamsEnsuring outstandingcustomer service and hospitalityOverseeingcoffee and food presentationstandardsBarista dutiesand coffee quality controlRostering and schedulingto meet business needsOrdering and receivinggoods, managing stock levelsMonitoringcosts, wastage, and supplier relationshipsRecruiting, onboarding, and training new staffMaintainingcompliancewith food safety and WHS standardsCoordinating with ownership on business improvements and promotionsWho You AreWe’re looking for a hospitality professional with a passion for coffee and leadership.The ideal candidate will have:Previouscafé management experience(1–2 years minimum)Strongbarista skillsand understanding of specialty coffeeExcellentcustomer serviceand communication abilitiesProven ability to lead a team and foster a positive workplace cultureStrong organisational skills with a focus on efficiency and attention to detailExperience with ordering, inventory, cost control, and shift schedulingKnowledge of food safety, hygiene, and WHS practicesFlexibility to work across weekends and peak trade periodsFull working rights in Australia –494 visa sponsorship as Cafe Manageravailable for the right candidateWhy Join Us?Be part of a well-respected, community-focused coffee brandWork in a scenic and growing regional area (Southern Highlands)Lead a passionate, skilled, and friendly teamOngoing support and training from experienced hospitality operatorsCompetitive salary + opportunities for career developmentLong-term employment pathway, includingvisa sponsorshipApply NowIf you’re ready to lead a café that values quality, integrity, and great coffee, we want to hear from you.ClickApply Nowto submit your resume and a short cover letter telling us why you're the perfect fit.",https://www.seek.com.au/job/85860901?type=standard&ref=search-standalone#sol=203df335dfc44a3c7fc9e58c5987ab9071406ed9
Experienced Australian Bus Drivers Wanted – 482 Visa Sponsorship |,Lorg Talent,Perth WA,"$100,000 per year","We’re currently seekingexperienced and committed Bus Driversforlong-term opportunitiesacrossWestern Australia (WA), with482 Visa Sponsorship pathwaysavailable for eligible candidates.What We’re Looking For:✅ Minimum 1 year of bus driving experience✅ Valid Passenger Driver Authority (PDA)✅ Full working rights in Australia✅ Willingness to relocate within WA✅ Strong English communication skills✅ Commitment to long-term employment and potential visa sponsorshipThis is a fantastic opportunity for professional drivers who value safety, punctuality, and exceptional customer service. Join a reliable employer and take the next step in your career journey in Australia!",https://www.seek.com.au/job/86315959?type=standard&ref=search-standalone#sol=1b54571d0db4bda0bdd5c787449d27de14cd712d
Registered Nurse - Sponsorship Available,Carinity,"Bundaberg, Bundaberg & Wide Bay Burnett QLD",$41.58 - $48.63,"$41.58 - $48.63 hourly rate + allowances and penaltiesSponsorship opportunities for the right candidateFull time role availableCarinity – Kepnock Grove have exciting opportunities for enthusiastic Registered Nurses to join the team. Reporting to the Residential Manager, a Registered Nurse works independently and within a team providing support and training to the nursing staff/Personal Carers. In this role, you will be a key leader within the Residential Aged Care team, who meets the clinical and personal needs of residents, through the provision of preventative, palliative and rehabilitative clinical care in a holistic manner.There are a variety of shifts available across all days and times, including nights and weekends, so full availability is desirable.Shifts available: 06:15 – 14:30; 14:15 – 22:15; 22:00 – 06:30What do I need for the role?Current registration as a Registered Nurse with AHPRAThe ability to contribute to and inspire a team in the delivery of person-centred care.Compassion and a genuine interest in caring for the elderly, supporting their dignity, choices, and independence.Highly developed verbal and written communication and leadership skillsThe benefits of joining the Carinity team!Access to extensive not-for-profit salary packaging options.Be part of a value driven organisation, with a culture of caring for others.Ongoing training and development to reach your full potential.Location: Carinity – Kepnock GroveCarinity – Kepnock Grove is situated close to the Bundaberg CBD and offers integrated care in a relaxed and homely atmosphere.See more here - https://carinity.org.au/residential/kepnock-grove/How do I apply?Carinity is after motivated and enthusiastic candidates who are committed to working with Carinity to make a real difference! If this sounds like you, we want to hear from you!To submit your application, click“Apply”, applications should include a brief cover letter and resume that addresses the Essential Competencies and Experiences. When clicking apply, you will be redirected to Carinity’s website, which will contain more information on Carinity and this position, including the Position Description.For further information please contact Carinity – Kepnock Grove on(07) 4131 2222only during business hours.Carinity actively encourages and invites applications from people with disabilities and Aboriginal and Torres Strait Islander people for all our positions.",https://www.seek.com.au/job/86022151?type=standard&ref=search-standalone#sol=5838f539add37c3e16bc0c9978ff125dadc8b127
Experienced Chef,Wynter Tavern Taree,"Taree, Port Macquarie & Mid North Coast NSW","$75,000 – $80,000 per year","The Wynter Tavern is a large modern hotel situated in the growing Northern Suburbs of Taree on the NSW Mid North Coast – not far from beautiful river systems, beaches and National Parks (and only a short 50 minute drive from Port Macquarie). We are a thriving family owned pub looking for someone talented to join our team and work alongside our awesome Chef de Cuisine.We are serious about punching out top quality pub food, so to suit our team you must have:Self-motivation, positivity and a team oriented attitudeExcellent communication, delegation and time managementPlenty of all round experience in fast paced kitchensThe ability to work well under pressure without sacrificing food qualityProduce consistently high standards of food presentationA Love of flavour in food (beer & wine wouldn't hurt either!)A happy demeanorAbility to start soon!A Cert III in commercial cookery482 VISA sponsorships will be consideredThis opportunity will suit someone looking to learn and progress their career working with  to help drive our successful kitchen Team.BENEFITS INCLUDE:Salaried full time position – Competitive package honouring the Industry AwardFour weeks of paid annual leaveCareer progressionSupportive working environmentIf you are a talented and performance driven individual wanting to enjoy your career then we'd love to talk to you. Contact our Head Chef, Mr Rai, on0433 514 640and/or email your resume tofunctions@wyntertavern.com",https://www.seek.com.au/job/85759342?type=standard&ref=search-standalone#sol=bdbb034349274c665b11b5823541828146bb1733
